,unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,yearincome,monthlyincome,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,roledepartament,remotework
374,374,55.0,No,frequently,135.0,,18,4,Medical,1034.0,3,M,62.0,3,2, healthcare representative ,2,married,12992,3,unknown,14,3.0,4,"80,0",76620.0,6385.0,2,,3,3.0,8,,6,7,1968,Unknown,Si
375,375,50.0,No,non-travel,145.0, Sales ,1,3,Life Sciences,unknown,4,F,95.0,3,2, sales executive ,3,married,24920,0,unknown,12,3.0,1,,76164.0,6347.0,1,,3,3.0,18,,0,13,1973, sales executive  -  sales ,Si
376,376,32.0,No,non-travel,1109.0,,29,4,,1046.0,4,F,69.0,3,1, laboratory technician ,3,single,11135,9,no,12,3.0,2,,,,0,10.0,2,3.0,8,,7,7,1991,Unknown,Si
377,377,53.0,No,frequently,124.0,,2,3,Marketing,1050.0,3,F,38.0,2,3, sales executive ,2,unknown,23537,2,unknown,12,3.0,1,,90300.0,7525.0,1,30.0,2,,15,,6,12,1970,Unknown,Si
378,378,40.0,No,rarely,300.0,,26,3,,unknown,3,M,74.0,3,2, sales executive ,1,married,22217,1,unknown,14,3.0,2,"80,0",,,1,8.0,3,2.0,7,,7,5,1983,Unknown,No
379,379,55.0,No,,444.0,,2,1,,1074.0,3,M,40.0,2,4, manager ,1,single,17323,7,no,15,3.0,2,,,,0,,3,4.0,9,,6,2,1968,Unknown,Si
380,380,28.0,Yes,non-travel,1366.0,,24,2,,1082.0,2,M,72.0,2,3, healthcare representative ,1,single,12355,1,no,12,3.0,1,,,,0,10.0,2,2.0,10,,1,9,1995,Unknown,No
381,381,28.0,No,rarely,857.0,,10,3,Other,1097.0,3,F,59.0,3,2, research scientist ,3,single,7909,3,no,13,3.0,4,"80,0",43920.0,3660.0,0,,4,4.0,8,,1,7,1995,Unknown,Si
382,382,35.0,Yes,,1204.0,,4,3,Technical Degree,1100.0,4,M,86.0,3,3, sales executive ,1,unknown,10333,0,unknown,22,4.0,1,"80,0",,,0,9.0,2,3.0,8,,4,7,1988,Unknown,Si
383,383,33.0,Yes,frequently,827.0, Research & Development ,36,4,Medical,1101.0,3,F,54.0,2,2, research scientist ,3,single,3129,1,no,22,4.0,2,,,,0,14.0,4,3.0,13,,3,8,1990, research scientist  -  research & development ,Si
384,384,25.0,Yes,,1219.0, Research & Development ,4,1,Technical Degree,1106.0,4,M,32.0,3,1, laboratory technician ,4,married,4605,1,unknown,15,,2,,,,1,7.0,3,4.0,7,,5,6,1998, laboratory technician  -  research & development ,Si
385,385,38.0,No,,770.0, Sales ,10,4,,1119.0,3,M,,2,3, sales executive ,3,unknown,5569,0,yes,14,3.0,2,,104880.0,8740.0,2,9.0,2,,8,,2,7,1985, sales executive  -  sales ,Si
386,386,28.0,No,,950.0,,12,3,,unknown,1,F,93.0,3,3, manufacturing director ,2,unknown,8039,0,unknown,17,3.0,2,"80,0",,,3,,3,2.0,9,,1,7,1995,Unknown,Si
387,387,43.0,No,frequently,1082.0,,27,3,Life Sciences,1126.0,3,F,83.0,3,3, manufacturing director ,1,married,11535,8,no,11,3.0,3,,,,1,18.0,1,3.0,8,,0,1,1980,Unknown,No
388,388,39.0,Yes,frequently,203.0, Research & Development ,2,3,Life Sciences,unknown,1,M,84.0,3,4, healthcare representative ,4,unknown,13547,7,no,11,3.0,4,,,,3,21.0,4,3.0,18,,11,5,1984, healthcare representative  -  research & development ,No
389,389,40.0,No,rarely,1308.0,,14,3,,1128.0,3,M,44.0,2,5, research director ,3,unknown,17544,1,no,14,,1,"80,0",,,0,,2,,20,,4,9,1983,Unknown,Si
390,390,29.0,No,rarely,718.0,,8,1,Medical,unknown,2,M,79.0,2,2, manufacturing director ,4,married,17689,1,unknown,15,3.0,3,"80,0",,,1,10.0,2,2.0,10,,1,2,1994,Unknown,Si
391,391,40.0,No,,593.0,,32,4,,unknown,2,F,88.0,3,3, research director ,3,unknown,13782,9,no,17,3.0,3,,161988.0,13499.0,0,20.0,3,2.0,18,,2,13,1983,Unknown,No
392,392,26.0,No,rarely,1384.0,,3,4,,1177.0,1,M,82.0,4,1, laboratory technician ,4,unknown,13421,1,unknown,22,4.0,2,,,,1,8.0,2,3.0,8,,0,7,1997,Unknown,Si
393,393,35.0,No,rarely,819.0,,2,3,,1182.0,3,M,44.0,2,3, manufacturing director ,2,divorced,19588,2,no,18,3.0,2,"80,0",,,1,15.0,2,4.0,7,,6,4,1988,Unknown,Si
394,394,53.0,No,,1223.0, Research & Development ,7,2,Medical,1201.0,4,F,50.0,3,5, manager ,3,divorced,18640,3,no,18,3.0,2,,,,1,26.0,6,3.0,7,,4,7,1970, manager  -  research & development ,No
395,395,35.0,No,,1361.0,,17,4,Life Sciences,1218.0,3,M,94.0,3,2, sales executive ,1,unknown,21026,3,unknown,15,3.0,4,,,,3,15.0,2,3.0,7,,1,7,1988,Unknown,Si
396,396,33.0,No,,1146.0,,25,3,Medical,1220.0,2,F,,3,2, sales executive ,3,unknown,4905,1,no,12,3.0,1,,,,1,,3,2.0,10,,0,1,1990,Unknown,Si
397,397,36.0,No,,, Research & Development ,6,4,Life Sciences,unknown,3,M,60.0,1,1, laboratory technician ,3,divorced,6865,1,no,14,3.0,3,,,,1,,4,3.0,7,,1,7,1987, laboratory technician  -  research & development ,Si
398,398,30.0,No,rarely,853.0,,7,4,Life Sciences,1224.0,3,M,49.0,3,2, laboratory technician ,3,divorced,11309,1,unknown,13,,1,,41892.0,3491.0,3,,4,2.0,10,,8,9,1993,Unknown,Si
399,399,60.0,No,,,,29,4,,unknown,2,M,52.0,4,2, sales executive ,4,divorced,10893,0,unknown,18,3.0,2,,62640.0,5220.0,1,12.0,3,3.0,11,,1,9,1963,Unknown,Si
400,400,32.0,No,,1316.0,,2,2,Life Sciences,1235.0,4,F,38.0,3,2, research scientist ,3,single,2338,4,yes,14,3.0,4,,,,0,10.0,2,3.0,8,,0,7,1991,Unknown,No
401,401,36.0,No,,363.0,,1,3,Technical Degree,1237.0,3,F,,1,3, manufacturing director ,1,divorced,4235,2,yes,21,4.0,3,,123024.0,10252.0,1,17.0,2,3.0,7,,7,7,1987,Unknown,Si
402,402,27.0,No,rarely,1103.0,,14,3,,unknown,1,M,42.0,3,1, research scientist ,1,unknown,14377,1,unknown,14,3.0,4,"80,0",,,2,,3,2.0,9,,6,8,1996,Unknown,Si
403,403,43.0,No,,920.0, Research & Development ,3,3,Life Sciences,1255.0,3,M,96.0,1,5, research director ,4,unknown,18625,3,no,14,3.0,2,"80,0",236880.0,19740.0,1,,2,3.0,8,,0,7,1980, research director  -  research & development ,Si
404,404,29.0,No,rarely,694.0,,1,3,,1264.0,4,F,,2,4, research director ,4,divorced,3423,3,no,14,3.0,2,,,,2,9.0,2,2.0,7,,1,7,1994,Unknown,Si
405,405,59.0,No,,1429.0,,24,4,,1283.0,2,M,67.0,3,3, manufacturing director ,4,single,20002,6,no,12,3.0,4,,,,0,,6,2.0,9,,5,4,1964,Unknown,No
406,406,43.0,No,rarely,531.0,,4,4,Marketing,1293.0,4,F,56.0,2,3, sales executive ,4,single,20364,3,no,14,3.0,4,,,,0,23.0,3,4.0,21,,15,17,1980,Unknown,Si
407,407,44.0,Yes,rarely,621.0,,15,3,Medical,1295.0,1,F,73.0,3,3, healthcare representative ,4,married,14075,1,unknown,11,3.0,4,"80,0",,,1,,2,3.0,10,,0,5,1979,Unknown,Si
408,408,29.0,Yes,,806.0, Research & Development ,7,3,Technical Degree,unknown,2,F,39.0,3,1, laboratory technician ,3,divorced,17285,3,yes,13,3.0,1,,,,2,10.0,2,3.0,7,,7,7,1994, laboratory technician  -  research & development ,Si
409,409,32.0,No,rarely,604.0,,8,3,,unknown,3,M,56.0,4,2, sales executive ,4,married,11693,1,unknown,15,3.0,3,,74508.0,6209.0,2,,4,4.0,10,,0,8,1991,Unknown,No
410,410,36.0,No,rarely,325.0,,10,4,Technical Degree,unknown,4,F,63.0,3,3, healthcare representative ,3,married,5747,3,no,12,3.0,1,,85128.0,7094.0,0,,0,3.0,7,,1,7,1987,Unknown,Si
411,411,52.0,Yes,,1030.0, Sales ,5,3,,unknown,2,M,64.0,3,3, sales executive ,2,single,21534,9,yes,19,3.0,3,,,,0,,2,2.0,8,,7,7,1971, sales executive  -  sales ,Si
412,412,39.0,No,rarely,524.0,,33,2,,1322.0,1,M,32.0,3,2, manufacturing director ,3,single,13352,0,unknown,11,3.0,1,,54408.0,4534.0,0,,6,,8,,1,7,1984,Unknown,Si
413,413,34.0,No,,943.0,,9,3,,1344.0,4,M,86.0,3,3, healthcare representative ,4,unknown,5494,0,unknown,11,,4,"80,0",102000.0,8500.0,1,10.0,0,2.0,9,,1,6,1989,Unknown,Si
414,414,38.0,No,,1009.0,,2,2,Life Sciences,1355.0,2,F,31.0,3,2, sales executive ,1,unknown,19461,3,unknown,15,3.0,4,,,,1,11.0,3,3.0,7,,1,7,1985,Unknown,Si
415,415,36.0,No,frequently,607.0, Sales ,12,3,Marketing,1362.0,1,F,83.0,4,2, sales executive ,1,married,2261,2,no,16,3.0,4,,55668.0,4639.0,1,,2,2.0,15,,6,13,1987, sales executive  -  sales ,Si
416,416,35.0,No,,817.0,,1,3,,1369.0,4,F,60.0,2,2, laboratory technician ,4,unknown,10846,0,no,12,3.0,2,"80,0",64356.0,5363.0,1,10.0,0,3.0,9,,0,0,1988,Unknown,No
417,417,55.0,Yes,,,,13,4,,unknown,1,M,85.0,4,4, sales executive ,3,unknown,9277,6,unknown,17,3.0,3,"80,0",,,0,,2,2.0,19,,3,8,1968,Unknown,Si
418,418,34.0,No,,,,29,3,,1377.0,2,M,86.0,3,2, laboratory technician ,3,unknown,17491,4,unknown,13,3.0,1,,,,2,10.0,1,3.0,8,,7,7,1989,Unknown,No
419,419,43.0,No,,930.0,,6,3,Medical,1402.0,1,F,73.0,2,2, research scientist ,3,single,20003,1,yes,14,3.0,1,,48972.0,4081.0,0,20.0,3,1.0,20,,1,8,1980,Unknown,No
420,420,42.0,No,rarely,1147.0,,10,3,Human Resources,1408.0,3,F,31.0,3,4, manager ,1,married,16616,0,unknown,14,3.0,3,"80,0",,,1,21.0,5,3.0,20,,0,9,1981,Unknown,No
421,421,26.0,No,rarely,652.0,,7,3,,1417.0,3,M,100.0,4,1, laboratory technician ,1,single,23577,0,no,12,3.0,4,,42936.0,3578.0,0,8.0,2,3.0,7,,0,7,1997,Unknown,Si
422,422,29.0,Yes,,337.0,,14,1,Other,1421.0,3,F,84.0,3,3, healthcare representative ,4,single,22930,0,yes,12,3.0,1,,,,0,,1,3.0,8,,7,7,1994,Unknown,Si
423,423,54.0,No,,971.0, Research & Development ,1,3,,1422.0,4,F,54.0,3,4, research director ,4,unknown,5652,6,unknown,19,3.0,4,,207936.0,17328.0,0,29.0,3,2.0,20,,12,7,1969, research director  -  research & development ,No
424,424,55.0,No,,1136.0,,1,4,,1424.0,2,M,81.0,4,4, research director ,4,divorced,12414,2,no,13,3.0,4,"80,0",,,2,31.0,4,4.0,7,,0,0,1968,Unknown,Si
425,425,40.0,No,non-travel,663.0,,9,4,Other,unknown,3,M,81.0,3,2, laboratory technician ,3,unknown,23099,3,no,11,3.0,3,"80,0",,,2,11.0,2,,8,,0,7,1983,Unknown,Si
426,426,31.0,No,,326.0,,8,2,,unknown,1,M,31.0,3,3, sales executive ,4,divorced,8386,1,unknown,18,,1,,129516.0,10793.0,1,13.0,5,3.0,13,,9,9,1992,Unknown,Si
427,427,46.0,Yes,,377.0,,9,3,Marketing,1457.0,1,M,52.0,3,3, sales executive ,4,divorced,15986,4,no,11,3.0,1,,,,1,28.0,1,4.0,7,,4,3,1977,Unknown,Si
428,428,45.0,No,rarely,1038.0,,20,3,Medical,1460.0,2,M,95.0,1,3, healthcare representative ,1,unknown,19863,2,yes,18,3.0,2,"80,0",130212.0,10851.0,1,,2,3.0,7,,0,7,1978,Unknown,No
429,429,49.0,No,rarely,1490.0,,7,4,Life Sciences,1484.0,3,M,35.0,3,3, healthcare representative ,2,divorced,20948,3,unknown,14,3.0,2,,125592.0,10466.0,2,29.0,3,3.0,8,,0,7,1974,Unknown,No
430,430,29.0,No,rarely,1246.0,,19,3,,1497.0,3,M,77.0,2,2, sales executive ,3,unknown,23757,1,unknown,14,3.0,3,,,,2,10.0,3,3.0,10,,0,4,1994,Unknown,Si
431,431,29.0,Yes,,224.0,,1,4,Technical Degree,1522.0,1,M,100.0,2,1, research scientist ,1,single,7568,6,no,13,3.0,3,,28344.0,2362.0,0,,2,1.0,9,,0,7,1994,Unknown,Si
432,432,29.0,No,,441.0,,8,1,Other,1544.0,3,F,39.0,1,2, healthcare representative ,1,unknown,7288,3,no,13,3.0,3,,,,1,9.0,3,3.0,7,,0,7,1994,Unknown,Si
433,433,40.0,No,rarely,898.0, Human Resources ,6,2,,unknown,3,M,38.0,3,4, manager ,4,single,17381,1,yes,21,4.0,4,"80,0",,,0,21.0,2,3.0,21,,7,7,1983, manager  -  human resources ,Si
434,434,48.0,No,,, Sales ,16,4,Life Sciences,unknown,3,F,96.0,3,2, sales executive ,3,divorced,13693,8,no,14,3.0,3,,77268.0,6439.0,1,18.0,2,,8,,7,7,1975, sales executive  -  sales ,Si
435,435,53.0,Yes,,607.0,,2,5,,1572.0,3,F,78.0,2,3, manufacturing director ,4,married,14618,0,unknown,16,3.0,2,,,,1,,4,3.0,33,,1,9,1970,Unknown,Si
436,436,44.0,No,,1313.0,,7,3,Medical,1608.0,2,F,31.0,3,5, research director ,4,unknown,3549,0,yes,14,,4,"80,0",,,1,,4,2.0,22,,1,10,1979,Unknown,No
437,437,45.0,No,,1015.0,,5,5,,1611.0,3,F,50.0,1,2, laboratory technician ,1,unknown,23447,1,unknown,14,3.0,1,,69228.0,5769.0,0,10.0,3,3.0,10,,1,4,1978,Unknown,No
438,438,45.0,No,non-travel,,,26,3,Marketing,1612.0,1,M,52.0,2,2, sales executive ,1,unknown,24162,1,unknown,15,,1,"80,0",52620.0,4385.0,1,10.0,2,,10,,4,5,1978,Unknown,No
439,439,34.0,No,frequently,426.0,,10,4,,1615.0,3,M,42.0,4,2, manufacturing director ,4,unknown,17000,1,unknown,13,3.0,1,,,,1,9.0,3,,9,,7,2,1989,Unknown,Si
440,440,39.0,No,,1387.0, Research & Development ,10,5,Medical,unknown,2,M,76.0,3,2, manufacturing director ,1,unknown,3835,2,unknown,13,3.0,4,,,,3,,3,3.0,7,,7,7,1984, manufacturing director  -  research & development ,No
441,441,27.0,No,,1302.0, Research & Development ,36,3,,1619.0,3,M,,2,1, laboratory technician ,1,divorced,16290,1,no,11,3.0,1,,48792.0,4066.0,2,7.0,3,3.0,7,,0,7,1996, laboratory technician  -  research & development ,Si
442,442,45.0,No,rarely,1329.0,,2,2,,1635.0,4,F,59.0,2,2, manufacturing director ,4,divorced,5388,1,unknown,19,3.0,1,,,,2,10.0,3,3.0,10,,3,9,1978,Unknown,Si
443,443,44.0,No,,602.0,,1,5,,1642.0,1,M,37.0,3,2, human resources ,4,married,10503,4,yes,11,3.0,3,,,,0,14.0,3,3.0,10,,0,2,1979,Unknown,Si
444,444,25.0,No,,772.0,,2,1,Life Sciences,1653.0,4,M,77.0,4,2, manufacturing director ,3,divorced,4973,1,unknown,17,3.0,3,,62472.0,5206.0,2,7.0,6,3.0,7,,0,7,1998,Unknown,No
445,445,49.0,No,,809.0,,1,3,,unknown,3,M,36.0,3,4, manager ,3,single,22384,4,unknown,14,3.0,1,"80,0",,,0,23.0,2,3.0,8,,0,0,1974,Unknown,Si
446,446,48.0,Yes,frequently,,,7,2,,1691.0,4,F,95.0,3,1, sales representative ,3,unknown,11740,2,unknown,11,,3,"80,0",31860.0,2655.0,2,19.0,3,3.0,9,,7,7,1975,Unknown,No
447,447,26.0,No,,786.0,,7,3,Medical,1693.0,4,M,76.0,3,1, laboratory technician ,4,unknown,11925,1,no,20,4.0,3,"80,0",30840.0,2570.0,0,7.0,5,3.0,7,,5,7,1997,Unknown,Si
448,448,44.0,No,rarely,921.0,,2,3,Life Sciences,1703.0,3,F,96.0,4,3, healthcare representative ,4,unknown,14810,1,unknown,19,,2,,,,1,,2,3.0,8,,6,7,1979,Unknown,Si
449,449,36.0,No,,530.0,,2,4,,unknown,3,F,51.0,3,2, sales representative ,4,single,7439,3,unknown,15,,3,,54024.0,4502.0,0,17.0,2,2.0,13,,6,7,1987,Unknown,Si
450,450,46.0,No,,717.0, Research & Development ,13,4,,1727.0,3,M,34.0,3,2, healthcare representative ,2,single,9697,6,no,14,3.0,4,,,,0,19.0,3,3.0,10,,0,9,1977, healthcare representative  -  research & development ,Si
451,451,35.0,No,,1370.0,,27,4,Life Sciences,1728.0,4,M,49.0,3,2, manufacturing director ,3,married,5151,2,unknown,16,3.0,2,"80,0",,,1,17.0,3,3.0,7,,0,7,1988,Unknown,Si
452,452,30.0,No,frequently,1312.0,,2,4,,1745.0,4,F,78.0,2,1, research scientist ,1,unknown,26427,0,unknown,16,3.0,4,"80,0",59616.0,4968.0,0,10.0,2,,9,,0,7,1993,Unknown,No
453,453,30.0,No,,979.0,,15,2,Marketing,1754.0,3,M,94.0,2,3, sales executive ,1,unknown,3088,2,no,11,3.0,1,"80,0",,,1,,2,3.0,7,,1,7,1993,Unknown,Si
454,454,33.0,No,non-travel,1283.0,,2,3,Marketing,1756.0,4,F,62.0,3,2, sales executive ,2,unknown,10697,8,no,15,3.0,4,,61764.0,5147.0,0,13.0,2,2.0,11,,1,7,1990,Unknown,Si
455,455,32.0,No,,953.0,,5,4,,1764.0,2,M,65.0,3,1, research scientist ,2,single,17674,2,no,14,3.0,2,,32616.0,2718.0,0,12.0,3,3.0,7,,0,7,1991,Unknown,Si
456,456,43.0,No,rarely,244.0,,2,3,Life Sciences,1778.0,2,M,97.0,3,1, human resources ,4,unknown,5033,0,no,13,3.0,2,"80,0",42468.0,3539.0,0,,5,3.0,9,,1,8,1980,Unknown,No
457,457,31.0,No,rarely,196.0,,29,4,Marketing,unknown,1,F,91.0,2,2, sales executive ,4,unknown,13402,1,unknown,14,3.0,1,,65616.0,5468.0,2,,3,3.0,12,,5,7,1992,Unknown,Si
458,458,35.0,Yes,,303.0,,27,3,,1797.0,3,M,84.0,3,2, sales executive ,4,unknown,13492,1,unknown,18,3.0,4,"80,0",69756.0,5813.0,0,,2,3.0,10,,7,7,1988,Unknown,No
459,459,35.0,No,non-travel,1180.0, Research & Development ,2,2,Medical,1804.0,2,M,90.0,3,2, manufacturing director ,4,divorced,24442,2,no,14,3.0,3,,,,1,15.0,6,3.0,7,,1,7,1988, manufacturing director  -  research & development ,No
460,460,30.0,No,,1092.0,,10,3,Medical,1816.0,1,F,64.0,3,3, manufacturing director ,3,single,2739,9,no,14,3.0,2,,116004.0,9667.0,0,9.0,3,3.0,7,,0,2,1993,Unknown,No
461,461,46.0,Yes,rarely,261.0,,19,2,Medical,1821.0,4,F,66.0,3,2, healthcare representative ,2,married,10842,4,no,22,4.0,4,,,,1,13.0,2,4.0,9,7.0,3,7,1977,Unknown,No
462,462,45.0,No,non-travel,589.0,,2,4,,unknown,3,F,67.0,3,2, sales executive ,3,married,19665,4,unknown,22,4.0,2,,61848.0,5154.0,2,10.0,3,4.0,8,,5,7,1978,Unknown,No
463,463,43.0,No,frequently,1422.0,,2,4,Life Sciences,1849.0,1,M,92.0,3,2, sales executive ,4,married,19246,1,unknown,20,4.0,3,,68100.0,5675.0,1,7.0,5,3.0,7,,7,7,1980,Unknown,No
464,464,46.0,Yes,,,,10,3,Life Sciences,1869.0,3,F,64.0,3,3, sales executive ,2,unknown,14011,5,unknown,21,4.0,3,"80,0",87768.0,7314.0,3,14.0,2,3.0,8,,0,7,1977,Unknown,Si
465,465,40.0,No,rarely,1137.0, Research & Development ,1,4,,unknown,1,M,98.0,3,4, manager ,1,unknown,18991,2,unknown,11,3.0,1,,,,1,22.0,3,,19,,11,16,1983, manager  -  research & development ,Si
466,466,27.0,No,rarely,511.0, Sales ,2,2,,1898.0,1,F,89.0,4,2, sales executive ,3,single,26997,0,no,14,3.0,2,,,,0,9.0,5,2.0,8,,0,7,1996, sales executive  -  sales ,No
467,467,42.0,No,,1396.0,,6,3,Medical,1911.0,3,M,83.0,3,3, research director ,1,married,14842,9,no,13,3.0,2,"80,0",,,1,18.0,3,4.0,13,,5,7,1981,Unknown,Si
468,468,26.0,No,frequently,1096.0,,6,3,Other,unknown,3,M,61.0,4,1, laboratory technician ,4,married,7102,0,no,18,3.0,1,,,,1,8.0,3,3.0,7,,7,7,1997,Unknown,Si
469,469,28.0,No,frequently,,,1,2,Life Sciences,1927.0,3,M,42.0,2,2, sales executive ,4,married,19255,1,unknown,12,3.0,3,,,,1,7.0,2,3.0,7,,0,7,1995,Unknown,Si
470,470,47.0,No,,1169.0,,14,4,,1934.0,3,M,64.0,3,2, research scientist ,2,married,2125,8,unknown,18,3.0,3,"80,0",,,1,,4,4.0,8,,1,7,1976,Unknown,No
471,471,34.0,No,rarely,1239.0,,13,4,Medical,1951.0,4,M,39.0,3,3, sales executive ,3,divorced,22914,1,no,18,3.0,3,,,,1,9.0,2,2.0,8,,1,1,1989,Unknown,Si
472,472,26.0,No,,157.0, Research & Development ,1,3,Medical,1952.0,3,M,95.0,3,1, laboratory technician ,1,single,20006,0,no,13,3.0,4,,,,0,8.0,6,,7,,7,6,1997, laboratory technician  -  research & development ,Si
473,473,27.0,No,rarely,954.0,,9,3,,1965.0,4,M,44.0,3,2, sales executive ,4,unknown,5099,1,unknown,14,3.0,1,,,,0,,5,,7,,0,7,1996,Unknown,No
474,474,31.0,Yes,frequently,754.0, Sales ,26,4,Marketing,1967.0,1,M,63.0,3,2, sales executive ,4,unknown,21075,1,yes,11,3.0,3,,,,0,10.0,4,3.0,10,,0,8,1992, sales executive  -  sales ,Si
475,475,33.0,No,frequently,1303.0,,7,2,Life Sciences,unknown,4,M,,3,2, healthcare representative ,3,divorced,18079,1,unknown,20,,3,,,,3,9.0,2,3.0,9,,2,8,1990,Unknown,Si
476,476,31.0,No,,697.0,,10,3,,1979.0,3,F,40.0,3,3, research director ,3,married,26862,4,no,20,4.0,3,,,,1,13.0,2,4.0,11,,4,8,1992,Unknown,Si
477,477,35.0,No,,1395.0,,9,4,Medical,2008.0,2,M,48.0,3,2, research scientist ,3,unknown,18698,1,no,19,3.0,2,,61176.0,5098.0,0,10.0,5,3.0,10,,0,8,1988,Unknown,Si
478,478,33.0,No,rarely,501.0,,15,2,,2009.0,2,F,95.0,3,2, healthcare representative ,4,married,21653,0,yes,13,,1,,,,1,,6,3.0,9,,8,1,1990,Unknown,Si
479,479,39.0,No,rarely,116.0,,24,1,Life Sciences,2014.0,1,M,52.0,3,2, research scientist ,4,single,5340,7,no,13,,1,,,,0,,2,3.0,7,,1,7,1984,Unknown,No
480,480,36.0,No,rarely,557.0,,46,3,,unknown,4,F,94.0,2,3, sales executive ,4,married,12695,0,no,19,3.0,3,,,,2,10.0,2,3.0,9,,3,4,1987,Unknown,Si
481,481,41.0,No,rarely,582.0,,28,4,Life Sciences,2034.0,1,F,60.0,2,4, manufacturing director ,2,married,5640,0,no,23,,3,,162840.0,13570.0,1,21.0,3,3.0,20,,0,10,1982,Unknown,Si
482,482,34.0,No,,704.0, Sales ,28,3,Marketing,2035.0,4,F,95.0,2,2, sales executive ,3,married,8978,1,no,21,4.0,4,,80544.0,6712.0,2,8.0,2,3.0,8,,1,7,1989, sales executive  -  sales ,No
483,483,38.0,No,rarely,,,10,2,,unknown,1,F,100.0,3,2, sales executive ,4,married,5982,1,no,11,3.0,3,,,,1,10.0,1,3.0,10,,1,9,1985,Unknown,Si
484,484,39.0,No,rarely,613.0,,6,1,,2062.0,4,M,42.0,2,3, healthcare representative ,1,unknown,21457,4,unknown,15,3.0,1,"80,0",119892.0,9991.0,1,,5,3.0,7,,1,7,1984,Unknown,Si
485,485,34.0,No,rarely,419.0,,7,4,,28.0,1,F,53.0,3,3, research director ,2,single,21293,0,no,11,,3,,,,0,,4,3.0,12,6.0,2,11,1989,Unknown,No
486,486,44.0,No,rarely,477.0,,7,4,Medical,unknown,1,F,42.0,2,3, healthcare representative ,4,married,2094,3,unknown,14,,4,,122976.0,10248.0,1,24.0,4,3.0,22,,5,17,1979,Unknown,Si
487,487,46.0,No,,1211.0,,5,4,,62.0,1,M,98.0,3,2, sales executive ,4,single,20445,4,unknown,21,,3,,,,0,14.0,4,3.0,9,,0,8,1977,Unknown,Si
488,488,41.0,No,frequently,857.0, Research & Development ,10,3,Life Sciences,199.0,4,M,91.0,2,4, manager ,1,divorced,12888,4,unknown,13,3.0,2,,,,1,,2,2.0,7,,7,7,1982, manager  -  research & development ,No
489,489,39.0,No,,505.0, Research & Development ,2,4,,343.0,3,F,64.0,3,3, healthcare representative ,3,single,6420,0,no,25,4.0,4,,131256.0,10938.0,0,20.0,1,3.0,19,,11,8,1984, healthcare representative  -  research & development ,No
490,490,42.0,No,rarely,269.0,,2,3,Medical,351.0,4,F,56.0,2,1, laboratory technician ,1,divorced,8007,0,yes,11,3.0,3,"80,0",31116.0,2593.0,1,10.0,4,3.0,9,,7,8,1981,Unknown,Si
491,491,33.0,No,frequently,553.0, Research & Development ,5,4,,428.0,4,F,74.0,3,3, manager ,2,married,23364,6,unknown,11,,2,"80,0",142536.0,11878.0,2,12.0,2,3.0,10,,8,8,1990, manager  -  research & development ,Si
492,492,35.0,No,rarely,1296.0,,5,4,Technical Degree,464.0,3,M,62.0,3,3, manufacturing director ,2,single,18264,0,no,13,3.0,4,"80,0",97140.0,8095.0,0,17.0,5,3.0,16,,0,13,1988,Unknown,Si
493,493,33.0,Yes,rarely,1277.0,,15,1,Medical,unknown,2,M,56.0,3,3, manager ,3,married,24619,7,unknown,12,3.0,4,,,,0,15.0,2,4.0,7,,7,7,1990,Unknown,Si
494,494,40.0,No,rarely,302.0,,6,3,Life Sciences,unknown,2,F,75.0,3,4, manufacturing director ,3,single,20364,7,no,15,3.0,3,,,,0,22.0,3,3.0,20,,5,13,1983,Unknown,No
495,495,41.0,No,rarely,427.0,,10,4,Human Resources,731.0,2,M,73.0,2,5, manager ,4,divorced,8861,3,no,15,3.0,2,,,,3,23.0,2,2.0,21,,12,6,1982,Unknown,No
496,496,27.0,No,,975.0,,7,3,,764.0,4,F,55.0,2,2, healthcare representative ,1,unknown,23398,8,no,19,3.0,1,,,,0,,2,1.0,7,,0,7,1996,Unknown,No
497,497,52.0,No,rarely,621.0,,3,4,Marketing,unknown,3,M,31.0,2,4, manager ,1,unknown,10084,1,unknown,11,3.0,1,,202272.0,16856.0,0,,3,4.0,34,,1,16,1971,Unknown,Si
498,498,51.0,No,rarely,1318.0,,26,4,Marketing,851.0,1,F,66.0,3,4, manager ,3,married,5594,2,no,14,3.0,3,,,,1,,2,2.0,20,,4,17,1972,Unknown,No
499,499,47.0,No,rarely,249.0,,2,2,Marketing,903.0,3,F,35.0,3,2, sales executive ,4,unknown,17783,0,unknown,22,4.0,1,,54444.0,4537.0,1,8.0,2,3.0,7,,7,7,1976,Unknown,Si
500,500,50.0,No,non-travel,881.0, Research & Development ,2,4,,905.0,1,M,98.0,3,4, manager ,1,divorced,4544,1,unknown,11,3.0,4,,215088.0,17924.0,1,31.0,3,3.0,31,,14,7,1973, manager  -  research & development ,No
